ICSID.caseno,DISPUTE.icsid_caseno,ICSID.id,DISPUTE.id
ARB/15/5,,122.0,
ARB/15/7,,120.0,
ARB/15/8,,119.0,
ARB/15/6,ARB/15/6,121.0,3198.0
ARB/15/9,,118.0,
ARB/15/12,,115.0,
ARB/15/11,,116.0,
ARB/15/13,,114.0,
ARB/15/10,,117.0,
ARB/15/15,,112.0,
ARB/15/16,,111.0,
ARB/15/17,,110.0,
ARB/15/18,ARB/15/18,109.0,5954.0
ARB/15/19,,108.0,
ARB/15/20,,107.0,
ARB/15/25,,102.0,
ARB/15/22,ARB/15/22,105.0,3907.0
ARB/15/24,,103.0,
ARB/15/23,,104.0,
ARB/15/27,,100.0,
ARB/15/29,ARB/15/29,98.0,3974.0
ARB/15/26,ARB/15/26,101.0,3780.0
ARB/15/28,ARB/15/28,99.0,3958.0
ARB/15/30,,97.0,
ARB/15/32,,94.0,
ARB(AF)/15/1,,96.0,
ARB/15/31,ARB/15/31,95.0,4721.0
ARB/15/34,,92.0,
ARB/15/35,,91.0,
ARB/15/33,,93.0,
ARB/15/37,,89.0,
ARB/15/39,,87.0,
ARB/15/40,,86.0,
ARB/15/38,,88.0,
ARB/15/42,,84.0,
ARB/15/43,,83.0,
ARB/15/44,ARB/15/44,82.0,3996.0
ARB/15/41,,85.0,
ARB/15/45,,81.0,
ARB/15/48,,78.0,
ARB/15/47,,79.0,
ARB/15/46,,80.0,
ARB/16/1,ARB/16/1,74.0,5576.0
ARB(AF)/15/2,ARB(AF)/15/2,75.0,3828.0
ARB/15/50,ARB/15/50,76.0,5895.0
ARB/15/49,,77.0,
ARB/16/2,,73.0,
ARB/16/4,,71.0,
ARB/16/5,,70.0,
ARB/16/3,,72.0,
ARB/16/9,ARB/16/9,66.0,5327.0
ARB/16/10,,65.0,
ARB/16/33,,35.0,
ARB/16/34,ARB/16/34,34.0,4475.0
ARB/16/35,,33.0,
ARB/16/36,,32.0,
ARB/16/38,,30.0,
ARB/16/6,,69.0,
ARB/16/7,,68.0,
ARB/16/8,,67.0,
ARB/16/12,ARB/16/12,63.0,5879.0
ARB/16/13,ARB/16/13,62.0,3972.0
ARB/16/11,,64.0,
CONC/16/1,,58.0,
ARB/16/15,,60.0,
ARB(AF)/16/1,,59.0,
ARB/16/14,,61.0,
ARB(AF)/16/2,ARB(AF)/16/2,57.0,4061.0
ARB/16/18,,54.0,
ARB/16/16,ARB/16/16,56.0,4695.0
ARB/16/17,,55.0,
ARB/16/19,,53.0,
ARB/16/20,ARB/16/20,52.0,5408.0
ARB/16/40,ARB/16/40,28.0,4860.0
ARB/17/1,,24.0,
ARB/17/2,ARB/17/2,23.0,5156.0
ARB(AF)/17/1,,25.0,
ARB/16/42,,26.0,
ARB/17/5,ARB/17/5,20.0,5158.0
ARB/17/6,ARB/17/6,19.0,5331.0
ARB/17/3,,22.0,
ARB/17/4,ARB/17/4,21.0,5160.0
ARB/17/7,,18.0,
ARB/17/8,ARB/17/8,17.0,5412.0
ARB/17/9,,16.0,
ARB/17/10,ARB/17/10,15.0,5591.0
ARB/17/11,ARB/17/11,13.0,5015.0
ADHOC/17/1,ADHOC/17/1,14.0,5776.0
ARB/17/12,ARB/17/12,12.0,5750.0
ARB/17/13,,11.0,
ARB/17/14,,10.0,
ARB/17/15,ARB/17/15,9.0,5925.0
ARB/17/16,ARB/17/16,8.0,5933.0
ARB/17/17,ARB/17/17,7.0,5935.0
ARB/17/18,ARB/17/18,6.0,5939.0
ARB/17/23,,1.0,
ARB(AF)/16/5,,36.0,
ARB(AF)/16/4,,40.0,
ARB/16/37,,31.0,
ARB/74/2,ARB/74/2,801.0,3497.0
ARB/74/2,ARB/74/2,791.0,3497.0
ARB/04/20,ARB/04/20,548.0,3595.0
ARB/74/1,ARB/74/1,802.0,3503.0
ARB/74/1,ARB/74/1,792.0,3503.0
ARB/74/4,ARB/74/4,799.0,3335.0
ARB/74/3,ARB/74/3,800.0,3250.0
ARB/74/3,ARB/74/3,790.0,3250.0
ARB/78/1,ARB/78/1,795.0,3568.0
CONC/82/1,CONC/82/1,784.0,3324.0
CONC/82/1,CONC/82/1,774.0,3324.0
ARB/83/1,ARB/83/1,782.0,3298.0
ARB/83/2,ARB/83/2,780.0,3545.0
CONC/83/1,CONC/83/1,779.0,3506.0
CONC/83/1,CONC/83/1,779.0,3291.0
ARB/84/1,ARB/84/1,778.0,3461.0
ARB/84/2,ARB/84/2,777.0,3430.0
ARB/17/20,,4.0,
ARB/17/21,ARB/17/21,3.0,5994.0
