id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
403,,ARB/08/11,"Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise v. Ukraine (ICSID Case No. ARB/08/11)","","Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise",Tourism,BIT Ukraine - United States of America 1994,"",,UKR,ICSID Convention - Arbitration Rules,"",Concluded,Hotel development project
373,,ARB/09/18,Cambodia Power Company v. Kingdom of Cambodia  (ICSID Case No. ARB/09/18),"",Cambodia Power Company,Electric Power & Other Energy,"",Contract,,KHM,ICSID Convention - Arbitration Rules,"",Concluded,Electricity generation and distribution operations
371,,ARB/09/19,Carnegie Minerals (Gambia) Limited v. Republic of The Gambia (ICSID Case No. ARB/09/19),"",Carnegie Minerals (Gambia) Limited,"Oil, Gas & Mining","",Contract,,Republic of The Gambia,ICSID Convention - Arbitration Rules,"",Pending,Mining concession
377,,ARB/09/15,"H&H Enterprises Investments, Inc. v. Arab Republic of Egypt (ICSID Case No. ARB/09/15)","","H&H Enterprises Investments, Inc.",Tourism,"BIT Egypt,  Arab Republic of - United States of America 1986","",,EGY,ICSID Convention - Arbitration Rules,"",Concluded,Resort management and operation
369,,ARB(AF)/09/1,Gold Reserve Inc. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB(AF)/09/1),"",Gold Reserve Inc.,"Oil, Gas & Mining","BIT Canada - Venezuela,  Republica Bolivariana de 1996","",,VEN,ICSID Additional Facility - Arbitration Rules,"Paris, France",Concluded,Mining company
374,,ARB/09/17,"Commerce Group Corp. and San Sebastian Gold Mines, Inc. v. Republic of El Salvador (ICSID Case No. ARB/09/17)","","Commerce Group Corp. and San Sebastian Gold Mines, Inc.","Oil, Gas & Mining","","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement), Investment Law - El Salvador (1999)",,SLV,ICSID Convention - Arbitration Rules,"",Concluded,Mining concession
367,,ARB(AF)/09/2,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States  (ICSID Case No. ARB(AF)/09/2)","","Abengoa, S.A. y COFIDES, S.A.","Water, Sanitation & Flood Protection",BIT Spain - Mexico 2006,"",,MEX,ICSID Additional Facility - Arbitration Rules,"Washington, D.C.",Concluded,Waste disposal enterprise
366,,ARB/09/21,UAB "ARVI" ir ko and UAB "SANITEX" v. Republic of Serbia (ICSID Case No. ARB/09/21),"",UAB "ARVI" ir ko and UAB "SANITEX",Other Industry,"BIT Serbia - Lithuania 2005, BIT Lithuania - Montenegro 2005","",,SRB,ICSID Convention - Arbitration Rules,"",Concluded,Fertilizer plant
364,,ARB/09/23,Corporación Quiport S.A. and others v. Republic of Ecuador (ICSID Case No. ARB/09/23),"",Corporación Quiport S.A. and others,Transportation,"",Contract,,ECU,ICSID Convention - Arbitration Rules,"",Concluded,"Construction, management and maintenance of airport facilities"
358,,UNCT/10/1,AbitibiBowater Inc. v. Canada (ICSID Case No. UNCT/10/1),"",AbitibiBowater Inc.,"Agriculture, Fishing & Forestry","",NAFTA (North American Free Trade Agreement),,CAN,UNCITRAL,"Montreal, Canada",Concluded,Manufacturing and trading enterprise
359,,ARB/10/3,Metal-Tech Ltd. v. Republic of Uzbekistan (ICSID Case No. ARB/10/3),"",Metal-Tech Ltd.,Other Industry,BIT Israel - Uzbekistan 1994,"",,UZB,ICSID Convention - Arbitration Rules,"",Concluded,Molybdenum plant
361,,ARB/10/1,Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi  v. Turkmenistan (ICSID Case No. ARB/10/1),"",Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi,Construction,BIT Turkmenistan - Turkey 1992,"",,TKM,ICSID Convention - Arbitration Rules,"",Concluded,Construction projects
356,,ARB/10/4,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud v. Democratic Republic of the Congo (ICSID Case No. ARB/10/4),"",Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud,Services & Trade,"",Investment Law - Congo (2002),,Democratic Republic of the Congo,ICSID Convention - Arbitration Rules,"",Concluded,Trading company
348,,ARB/10/9,"Universal Compression International Holdings, S.L.U. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/10/9)","","Universal Compression International Holdings, S.L.U.","Oil, Gas & Mining","BIT Spain - Venezuela,  Republica Bolivariana de 1995","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Oil and gas enterprise
349,,ARB/10/8,Pan American Energy LLC v. Plurinational State of Bolivia (ICSID Case No. ARB/10/8),"",Pan American Energy LLC,"Oil, Gas & Mining",BIT Bolivia - United States of America 1998,"",,BOL,ICSID Convention - Arbitration Rules,"",Concluded,Exploration and exploitation of hydrocarbons
350,,ARB/10/7,"Philip Morris Brand Sàrl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay) v. Oriental Republic of Uruguay (ICSID Case No. ARB/10/7)","","Philip Morris Brand Sàrl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay)",Other Industry,BIT Uruguay - Switzerland 1988,"",,Oriental Republic of Uruguay,ICSID Convention - Arbitration Rules,"",Concluded,Tobacco industry
375,,ARB/09/9,Adem Dogan v. Turkmenistan (ICSID Case No. ARB/09/9),"",Adem Dogan,"Agriculture, Fishing & Forestry",BIT Germany - Turkmenistan 1997,"",,TKM,ICSID Convention - Arbitration Rules,"",Concluded,Poultry farm
370,,ARB/09/13,International Company for Railway Systems (ICRS) v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/09/13),"",International Company for Railway Systems (ICRS),Transportation,BIT Jordan - Kuwait 2001,Contract,,JOR,ICSID Convention - Arbitration Rules,"",Concluded,Light rail system
320,,ARB/10/20,Standard Chartered Bank (Hong Kong) Limited v. Tanzania Electric Supply Company Limited (ICSID Case No. ARB/10/20),"",Standard Chartered Bank (Hong Kong) Limited,Electric Power & Other Energy,"",Contract,,Tanzania Electric Supply Company Limited,ICSID Convention - Arbitration Rules,"",Pending,Power purchase agreement
342,,ARB/10/14,Opic Karimum Corporation v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/10/14),"",Opic Karimum Corporation,"Oil, Gas & Mining","",Investment Law - Venezuela (1999),,VEN,ICSID Convention - Arbitration Rules,"",Concluded,Oil exploration and production
340,,ARB/10/15,Bernhard von Pezold and others v.  Republic of Zimbabwe (ICSID Case No. ARB/10/15),"",Bernhard von Pezold and others,"Agriculture, Fishing & Forestry","BIT Zimbabwe - Germany 1995, BIT Zimbabwe - Switzerland 1996","",,ZWE,ICSID Convention - Arbitration Rules,"",Pending,Commercial farms
