DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,ICSID.id,ICSID.decisions,ICSID.caseno,ICSID.title,ICSID.type,ICSID.claimant,ICSID.econsector,ICSID.instrumentinvk1,ICSID.instrumentinvk2,ICSID.partiessub,ICSID.respondent,ICSID.rulesapplied,ICSID.seatarbitration,ICSID.status,ICSID.subject
1167,"Western NIS Enterprise Fund v. Ukraine, ICSID Case No. ARB/04/2",,UKR,,Ukraine-United States BIT,337.0,Western NIS Enterprise Fund,ICSID,,Ukraine-United States BIT,,578.0,,ARB/04/2,Western NIS Enterprise Fund v. Ukraine  (ICSID Case No. ARB/04/2),,Western NIS Enterprise Fund,"Agriculture, Fishing & Forestry",BIT Ukraine - United States of America 1994,,,UKR,ICSID Convention - Arbitration Rules,,Concluded,Sunflower oil joint venture
1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4",,EGY,,Egypt-United Kingdom BIT,396.0,Wena Hotels Ltd.,ICSID,,Egypt-United Kingdom BIT,,723.0,,ARB/98/4,Wena Hotels Limited v. Arab Republic of Egypt  (ICSID Case No. ARB/98/4),,Wena Hotels Limited,Tourism,"BIT Egypt,  Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975",,,EGY,ICSID Convention - Arbitration Rules,,Concluded,Hotel lease and development agreements
1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4",,EGY,,Egypt-United Kingdom BIT,396.0,Wena Hotels Ltd.,ICSID,,Egypt-United Kingdom BIT,,713.0,,ARB/98/4,Wena Hotels Limited v. Arab Republic of Egypt  (ICSID Case No. ARB/98/4),,Wena Hotels Limited,Tourism,"BIT Egypt,  Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975",,,EGY,ICSID Convention - Arbitration Rules,,Concluded,Hotel lease and development agreements
1545,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 1)",,KAZ,,,,World Wide Minerals,UNCITRAL,,,,,,,,,,,,,,,,,,
3280,"World Duty Free Company v Republic of Kenya, ICSID Case No. Arb/00/7",Other service activities,,,,,,ICSID,In favour of Investor,,,689.0,,ARB/00/7,World Duty Free Company Limited  v. Republic of Kenya  (ICSID Case No. ARB/00/7),,World Duty Free Company Limited,Services & Trade,,Contract,,KEN,ICSID Convention - Arbitration Rules,,Concluded,Duty free concession
3280,"World Duty Free Company v Republic of Kenya, ICSID Case No. Arb/00/7",Other service activities,,,,,,ICSID,In favour of Investor,,,679.0,,ARB/00/7,World Duty Free Company Limited  v. Republic of Kenya  (ICSID Case No. ARB/00/7),,World Duty Free Company Limited ,Services & Trade,,Contract,,KEN,ICSID Convention - Arbitration Rules,,Concluded,Duty free concession
3027,"Wilson Beimar Magne Hinojosa, Diputado Nacional contra Eduardo Rodríguez Veltzé, Presidente Constitucional de la República de Bolivia, y otro",,BOL,,,1728.0,Wilson Beimar Magne Hinojosa,,,"Bolivia-Netherlands BIT, Bolivia-France BIT, Bolivia-United Kingdom BIT, Bolivia-Spain BIT, Bolivia-United States BIT",BOL,,,,,,,,,,,,,,,
1171,"Wintershall Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/04/14",,ARG,,Argentina-Germany BIT,369.0,Wintershall Aktiengesellschaft,ICSID,,Argentina-Germany BIT,,562.0,,ARB/04/14,Wintershall Aktiengesellschaft  v. Argentine Republic (ICSID Case No. ARB/04/14),,Wintershall Aktiengesellschaft,"Oil, Gas & Mining",BIT Germany - Argentina 1991,,,ARG,ICSID Convention - Arbitration Rules,,Concluded,Gas and oil production
1171,"Wintershall Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/04/14",,ARG,,Argentina-Germany BIT,369.0,Wintershall Aktiengesellschaft,ICSID,,Argentina-Germany BIT,,552.0,,ARB/04/14,Wintershall Aktiengesellschaft  v. Argentine Republic (ICSID Case No. ARB/04/14),,Wintershall Aktiengesellschaft ,"Oil, Gas & Mining",BIT Germany - Argentina 1991,,,ARG,ICSID Convention - Arbitration Rules,,Concluded,Gas and oil production
1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22",,CAN,,NAFTA,11.0,Windstream Energy LLC,UNCITRAL,,NAFTA,,,,,,,,,,,,,,,,
3996,"Watkins Holdings S.à r.l. and others v. Kingdom of Spain, ICSID Case No. ARB/15/44","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty,2855.0,,ICSID,,Energy Charter Treaty,,82.0,,ARB/15/44,Watkins Holdings S.à r.l. and others v. Kingdom of Spain (ICSID Case No. ARB/15/44),,Watkins Holdings S.à r.l. and others,Electric Power & Other Energy,,ECT (Energy Charter Treaty),,ESP,ICSID Convention - Arbitration Rules,,Pending,Renewable energy generation enterprise
